Date,Open,High,Low,Close,Adj Close,Volume
9/26/2022,149.660004,153.770004,149.639999,150.770004,149.880859,93339400
9/27/2022,152.740005,154.720001,149.949997,151.759995,150.865005,84442700
9/28/2022,147.639999,150.639999,144.839996,149.839996,148.956329,146691400
9/29/2022,146.100006,146.720001,140.679993,142.479996,141.63974,128138200
9/30/2022,141.279999,143.100006,138,138.199997,137.384964,124925300
10/3/2022,138.210007,143.070007,137.690002,142.449997,141.609909,114311700
10/4/2022,145.029999,146.220001,144.259995,146.100006,145.238388,87830100
10/5/2022,144.070007,147.380005,143.009995,146.399994,145.536606,79471000
10/6/2022,145.809998,147.539993,145.220001,145.429993,144.572342,68402200
10/7/2022,142.539993,143.100006,139.449997,140.089996,139.26384,85925600
10/10/2022,140.419998,141.889999,138.570007,140.419998,139.591873,74899000
10/11/2022,139.899994,141.350006,138.220001,138.979996,138.16037,77033700
10/12/2022,139.130005,140.360001,138.160004,138.339996,137.524155,70433700
10/13/2022,134.990005,143.589996,134.369995,142.990005,142.146744,113224000
10/14/2022,144.309998,144.520004,138.190002,138.380005,137.563919,88598000
10/17/2022,141.070007,142.899994,140.270004,142.410004,141.57016,85250900
10/18/2022,145.490005,146.699997,140.610001,143.75,142.902252,99136600
10/19/2022,141.690002,144.949997,141.5,143.860001,143.011597,61758300
10/20/2022,143.020004,145.889999,142.649994,143.389999,142.544373,64522000
10/21/2022,142.869995,147.850006,142.649994,147.270004,146.401505,86548600
10/24/2022,147.190002,150.229996,146,149.449997,148.568634,75981900
10/25/2022,150.089996,152.490005,149.360001,152.339996,151.441589,74732300
10/26/2022,150.960007,151.990005,148.039993,149.350006,148.469223,88194300
10/27/2022,148.070007,149.050003,144.130005,144.800003,143.94606,109180200
10/28/2022,148.199997,157.5,147.820007,155.740005,154.821548,164762400
10/31/2022,153.160004,154.240005,151.919998,153.339996,152.435684,97943200
11/1/2022,155.080002,155.449997,149.130005,150.649994,149.761551,80379300
11/2/2022,148.949997,152.169998,145,145.029999,144.174698,93604600
11/3/2022,142.059998,142.800003,138.75,138.880005,138.060974,97918500
11/4/2022,142.089996,142.669998,134.380005,138.380005,137.792114,140814800
11/7/2022,137.110001,139.149994,135.669998,138.919998,138.329803,83374600
11/8/2022,140.410004,141.429993,137.490005,139.5,138.907364,89908500
11/9/2022,138.5,138.550003,134.589996,134.869995,134.297028,74917800
11/10/2022,141.240005,146.869995,139.5,146.869995,146.246048,118854000
11/11/2022,145.820007,150.009995,144.369995,149.699997,149.064026,93979700
11/14/2022,148.970001,150.279999,147.429993,148.279999,147.650055,73374100
11/15/2022,152.220001,153.589996,148.559998,150.039993,149.402573,89868300
11/16/2022,149.130005,149.869995,147.289993,148.789993,148.157883,64218300
11/17/2022,146.429993,151.479996,146.149994,150.720001,150.079712,80389400
11/18/2022,152.309998,152.699997,149.970001,151.289993,150.647263,74829600
11/21/2022,150.160004,150.369995,147.720001,148.009995,147.38121,58724100
11/22/2022,148.130005,150.419998,146.929993,150.179993,149.541977,51804100
11/23/2022,149.449997,151.830002,149.339996,151.070007,150.428223,58301400
11/25/2022,148.309998,148.880005,147.119995,148.110001,147.480789,35195900
11/28/2022,145.139999,146.639999,143.380005,144.220001,143.6073,69246000
11/29/2022,144.289993,144.809998,140.350006,141.169998,140.570267,83763800
11/30/2022,141.399994,148.720001,140.550003,148.029999,147.401123,111380900
12/1/2022,148.210007,149.130005,146.610001,148.309998,147.679947,71250400
12/2/2022,145.960007,148,145.649994,147.809998,147.182068,65447400
12/5/2022,147.770004,150.919998,145.770004,146.630005,146.007065,68826400
12/6/2022,147.070007,147.300003,141.919998,142.910004,142.302887,64727200
12/7/2022,142.190002,143.369995,140,140.940002,140.341248,69721100
12/8/2022,142.360001,143.520004,141.100006,142.649994,142.043976,62128300
12/9/2022,142.339996,145.570007,140.899994,142.160004,141.556076,76097000
12/12/2022,142.699997,144.5,141.059998,144.490005,143.87616,70462700
12/13/2022,149.5,149.970001,144.240005,145.470001,144.852005,93886200
12/14/2022,145.350006,146.660004,141.160004,143.210007,142.601608,82291200
12/15/2022,141.110001,141.800003,136.029999,136.5,135.92009,98931900
12/16/2022,136.690002,137.649994,133.729996,134.509995,133.938553,160156900
12/19/2022,135.110001,135.199997,131.320007,132.369995,131.807648,79592600
12/20/2022,131.389999,133.25,129.889999,132.300003,131.737946,77432800
12/21/2022,132.979996,136.809998,132.75,135.449997,134.874557,85928000
12/22/2022,134.350006,134.559998,130.300003,132.229996,131.668243,77852100
12/23/2022,130.919998,132.419998,129.639999,131.860001,131.29982,63814900
12/27/2022,131.380005,131.410004,128.720001,130.029999,129.477585,69007800
12/28/2022,129.669998,131.029999,125.870003,126.040001,125.504539,85438400
12/29/2022,127.989998,130.479996,127.730003,129.610001,129.059372,75703700
12/30/2022,128.410004,129.949997,127.43,129.929993,129.378006,77034200
1/3/2023,130.279999,130.899994,124.169998,125.07,124.538666,112117500
1/4/2023,126.889999,128.660004,125.080002,126.360001,125.823189,89113600
1/5/2023,127.129997,127.769997,124.760002,125.019997,124.488876,80962700
1/6/2023,126.010002,130.289993,124.889999,129.619995,129.069321,87754700
1/9/2023,130.470001,133.410004,129.889999,130.149994,129.597061,70790800
1/10/2023,130.259995,131.259995,128.119995,130.729996,130.174606,63896200
1/11/2023,131.25,133.509995,130.460007,133.490005,132.922882,69458900
1/12/2023,133.880005,134.259995,131.440002,133.410004,132.843231,71379600
1/13/2023,132.029999,134.919998,131.660004,134.759995,134.1875,57809700
1/17/2023,134.830002,137.289993,134.130005,135.940002,135.362488,63646600
1/18/2023,136.820007,138.610001,135.029999,135.210007,134.63559,69672800
1/19/2023,134.080002,136.25,133.770004,135.270004,134.695328,58280400
1/20/2023,135.279999,138.020004,134.220001,137.869995,137.284271,80223600
1/23/2023,138.119995,143.320007,137.899994,141.110001,140.510513,81760300
1/24/2023,140.309998,143.160004,140.300003,142.529999,141.924484,66435100
1/25/2023,140.889999,142.429993,138.809998,141.860001,141.257339,65799300
1/26/2023,143.169998,144.25,141.899994,143.960007,143.348419,54105100
1/27/2023,143.160004,147.229996,143.080002,145.929993,145.310043,70555800
1/30/2023,144.960007,145.550003,142.850006,143,142.392502,64015300
1/31/2023,142.699997,144.339996,142.279999,144.289993,143.677002,65874500
2/1/2023,143.970001,146.610001,141.320007,145.429993,144.812164,77663600
2/2/2023,148.899994,151.179993,148.169998,150.820007,150.179291,118339000
2/3/2023,148.029999,157.380005,147.830002,154.5,153.843628,154357300
2/6/2023,152.570007,153.100006,150.779999,151.729996,151.085388,69858300
2/7/2023,150.639999,155.229996,150.639999,154.649994,153.992981,83322600
2/8/2023,153.880005,154.580002,151.169998,151.919998,151.274582,64120100
2/9/2023,153.779999,154.330002,150.419998,150.869995,150.22905,56007100
2/10/2023,149.460007,151.339996,149.220001,151.009995,150.598038,57450700
2/13/2023,150.949997,154.259995,150.919998,153.850006,153.430313,62199000
2/14/2023,152.119995,153.770004,150.860001,153.199997,152.782074,61707600
2/15/2023,153.110001,155.5,152.880005,155.330002,154.906265,65573800
2/16/2023,153.509995,156.330002,153.350006,153.710007,153.29068,68167900
2/17/2023,152.350006,153,150.850006,152.550003,152.13385,59144100
2/21/2023,150.199997,151.300003,148.410004,148.479996,148.074951,58867200
2/22/2023,148.869995,149.949997,147.160004,148.910004,148.503769,51011300
2/23/2023,150.089996,150.339996,147.240005,149.399994,148.992432,48394200
2/24/2023,147.110001,147.190002,145.720001,146.710007,146.309784,55469600
2/27/2023,147.710007,149.169998,147.449997,147.919998,147.516479,44998500
2/28/2023,147.050003,149.080002,146.830002,147.410004,147.007874,50547000
3/1/2023,146.830002,147.229996,145.009995,145.309998,144.913605,55479000
3/2/2023,144.380005,146.710007,143.899994,145.910004,145.511978,52238100
3/3/2023,148.039993,151.110001,147.330002,151.029999,150.617996,70732300
3/6/2023,153.789993,156.300003,153.460007,153.830002,153.41037,87558000
3/7/2023,153.699997,154.029999,151.130005,151.600006,151.186447,56182000
3/8/2023,152.809998,153.470001,151.830002,152.869995,152.452972,47204800
3/9/2023,153.559998,154.539993,150.229996,150.589996,150.179184,53833600
3/10/2023,150.210007,150.940002,147.610001,148.5,148.094894,68572400
3/13/2023,147.809998,153.139999,147.699997,150.470001,150.059525,84457100
3/14/2023,151.279999,153.399994,150.100006,152.589996,152.173737,73695900
3/15/2023,151.190002,153.25,149.919998,152.990005,152.572647,77167900
3/16/2023,152.160004,156.460007,151.639999,155.850006,155.42485,76161100
3/17/2023,156.080002,156.740005,154.279999,155,154.577164,98944600
3/20/2023,155.070007,157.820007,154.149994,157.399994,156.970612,73641400
3/21/2023,157.320007,159.399994,156.539993,159.279999,158.84549,73938300
3/22/2023,159.300003,162.139999,157.809998,157.830002,157.399445,75701800
3/23/2023,158.830002,161.550003,157.679993,158.929993,158.496445,67622100
3/24/2023,158.860001,160.339996,157.850006,160.25,159.812836,59196500
3/27/2023,159.940002,160.770004,157.869995,158.279999,157.848206,52390300
3/28/2023,157.970001,158.490005,155.979996,157.649994,157.219925,45992200
3/29/2023,159.369995,161.050003,159.350006,160.770004,160.331421,51305700
3/30/2023,161.529999,162.470001,161.270004,162.360001,161.917084,49501700
3/31/2023,162.440002,165,161.910004,164.899994,164.45015,68749800
4/3/2023,164.270004,166.289993,164.220001,166.169998,165.71669,56976200
4/4/2023,166.600006,166.839996,165.110001,165.630005,165.178177,46278300
4/5/2023,164.740005,165.050003,161.800003,163.759995,163.313263,51511700
4/6/2023,162.429993,164.960007,162,164.660004,164.210831,45390100
4/10/2023,161.419998,162.029999,160.080002,162.029999,161.587982,47716900
4/11/2023,162.350006,162.360001,160.509995,160.800003,160.361343,47644200
4/12/2023,161.220001,162.059998,159.779999,160.100006,159.663269,50133100
4/13/2023,161.630005,165.800003,161.419998,165.559998,165.108353,68445600
4/14/2023,164.589996,166.320007,163.820007,165.210007,164.759323,49386500
4/17/2023,165.089996,165.389999,164.029999,165.229996,164.779251,41516200
4/18/2023,166.100006,167.410004,165.649994,166.470001,166.015884,49923000
4/19/2023,165.800003,168.160004,165.539993,167.630005,167.172714,47720200
4/20/2023,166.089996,167.869995,165.559998,166.649994,166.195389,52456400
4/21/2023,165.050003,166.449997,164.490005,165.020004,164.569839,58337300
4/24/2023,165,165.600006,163.889999,165.330002,164.878983,41949600
4/25/2023,165.190002,166.309998,163.729996,163.770004,163.323242,48714100
4/26/2023,163.059998,165.279999,162.800003,163.759995,163.313263,45498800
4/27/2023,165.190002,168.559998,165.190002,168.410004,167.950592,64902300
4/28/2023,168.490005,169.850006,167.880005,169.679993,169.217117,55209200
5/1/2023,169.279999,170.449997,168.639999,169.589996,169.127365,52472900
5/2/2023,170.089996,170.350006,167.539993,168.539993,168.080231,48425700
5/3/2023,169.5,170.919998,167.160004,167.449997,166.993195,65136000
5/4/2023,164.889999,167.039993,164.309998,165.789993,165.337723,81235400
5/5/2023,170.979996,174.300003,170.759995,173.570007,173.096512,113316400
5/8/2023,172.479996,173.850006,172.110001,173.5,173.026688,55962800
5/9/2023,173.050003,173.539993,171.600006,171.770004,171.301422,45326900
5/10/2023,173.020004,174.029999,171.899994,173.559998,173.086533,53724500
5/11/2023,173.850006,174.589996,172.169998,173.75,173.276016,49514700
5/12/2023,173.619995,174.059998,171,172.570007,172.33728,45497800
5/15/2023,173.160004,173.210007,171.470001,172.070007,171.837967,37266700
5/16/2023,171.990005,173.139999,171.800003,172.070007,171.837967,42110300
5/17/2023,171.710007,172.929993,170.419998,172.690002,172.457123,57951600
5/18/2023,173,175.240005,172.580002,175.050003,174.813934,65496700
5/19/2023,176.389999,176.389999,174.940002,175.160004,174.923798,55772400
5/22/2023,173.979996,174.710007,173.449997,174.199997,173.965073,43570900
5/23/2023,173.130005,173.380005,171.279999,171.559998,171.328644,50747300
5/24/2023,171.089996,172.419998,170.520004,171.839996,171.608261,45143500
5/25/2023,172.410004,173.899994,171.690002,172.990005,172.756714,56058300
5/26/2023,173.320007,175.770004,173.110001,175.429993,175.19342,54835000
5/30/2023,176.960007,178.990005,176.570007,177.300003,177.060898,55964400
5/31/2023,177.330002,179.350006,176.759995,177.25,177.010971,99625300
6/1/2023,177.699997,180.119995,176.929993,180.089996,179.847137,68901800
6/2/2023,181.029999,181.779999,179.259995,180.949997,180.705978,61945900
6/5/2023,182.630005,184.949997,178.039993,179.580002,179.33783,121946500
6/6/2023,179.970001,180.119995,177.429993,179.210007,178.968338,64848400
6/7/2023,178.440002,181.210007,177.320007,177.820007,177.5802,61944600
6/8/2023,177.899994,180.839996,177.460007,180.570007,180.326492,50214900
6/9/2023,181.5,182.229996,180.630005,180.960007,180.715973,48870700
6/12/2023,181.270004,183.889999,180.970001,183.789993,183.542145,54274900
6/13/2023,182.800003,184.149994,182.440002,183.309998,183.06279,54929100
6/14/2023,183.369995,184.389999,182.020004,183.949997,183.701935,57462900
6/15/2023,183.960007,186.520004,183.779999,186.009995,185.759155,65433200
6/16/2023,186.729996,186.990005,184.270004,184.919998,184.670624,101235600
6/20/2023,184.410004,186.100006,184.410004,185.009995,184.760498,49799100
6/21/2023,184.899994,185.410004,182.589996,183.960007,183.711929,49515700
6/22/2023,183.740005,187.050003,183.669998,187,186.747818,51245300
6/23/2023,185.550003,187.559998,185.009995,186.679993,186.428238,53079300
6/26/2023,186.830002,188.050003,185.229996,185.270004,185.020157,48088700
6/27/2023,185.889999,188.389999,185.669998,188.059998,187.806381,50730800
6/28/2023,187.929993,189.899994,187.600006,189.25,188.994781,51216800
6/29/2023,189.080002,190.070007,188.940002,189.589996,189.33432,46347300
6/30/2023,191.630005,194.479996,191.259995,193.970001,193.70842,85069600
7/3/2023,193.779999,193.880005,191.759995,192.460007,192.20047,31458200
7/5/2023,191.570007,192.979996,190.619995,191.330002,191.071976,46920300
7/6/2023,189.839996,192.020004,189.199997,191.809998,191.551331,45094300
7/7/2023,191.410004,192.669998,190.240005,190.679993,190.422852,46778000
7/10/2023,189.259995,189.990005,187.039993,188.610001,188.355652,59922200
7/11/2023,189.160004,189.300003,186.600006,188.080002,187.82637,46638100
7/12/2023,189.679993,191.699997,188.470001,189.770004,189.514084,60750200
7/13/2023,190.5,191.190002,189.779999,190.539993,190.283035,41342300
7/14/2023,190.229996,191.179993,189.630005,190.690002,190.432846,41573900
7/17/2023,191.899994,194.320007,191.809998,193.990005,193.728394,50520200
7/18/2023,193.350006,194.330002,192.419998,193.729996,193.468735,48353800
7/19/2023,193.100006,198.229996,192.649994,195.100006,194.836899,80507300
7/20/2023,195.089996,196.470001,192.5,193.130005,192.869553,59581200
7/21/2023,194.100006,194.970001,191.229996,191.940002,191.681168,71917800
7/24/2023,193.410004,194.910004,192.25,192.75,192.490067,45377800
7/25/2023,193.330002,194.440002,192.919998,193.619995,193.358887,37283200
7/26/2023,193.669998,195.639999,193.320007,194.5,194.237701,47471900
7/27/2023,196.020004,197.199997,192.550003,193.220001,192.959427,47460200
7/28/2023,194.669998,196.630005,194.139999,195.830002,195.565918,48291400
7/31/2023,196.059998,196.490005,195.259995,196.449997,196.185074,38824100
8/1/2023,196.240005,196.729996,195.279999,195.610001,195.346207,35175100
8/2/2023,195.039993,195.179993,191.850006,192.580002,192.320297,50389300
8/3/2023,191.570007,192.369995,190.690002,191.169998,190.912201,61235200
8/4/2023,185.520004,187.380005,181.919998,181.990005,181.744583,115799700
8/7/2023,182.130005,183.130005,177.350006,178.850006,178.60881,97576100
8/8/2023,179.690002,180.270004,177.580002,179.800003,179.557526,67823000
8/9/2023,180.869995,180.929993,177.009995,178.190002,177.949707,60378500
8/10/2023,179.479996,180.75,177.600006,177.970001,177.729996,54686900
8/11/2023,177.320007,178.619995,176.550003,177.789993,177.789993,51988100
8/14/2023,177.970001,179.690002,177.309998,179.460007,179.460007,43675600
8/15/2023,178.880005,179.479996,177.050003,177.449997,177.449997,43622600
8/16/2023,177.130005,178.539993,176.5,176.570007,176.570007,46964900
8/17/2023,177.139999,177.509995,173.479996,174,174,66062900
8/18/2023,172.300003,175.100006,171.960007,174.490005,174.490005,61114200
8/21/2023,175.070007,176.130005,173.740005,175.839996,175.839996,46311900
8/22/2023,177.059998,177.679993,176.25,177.229996,177.229996,42084200
8/23/2023,178.520004,181.550003,178.330002,181.119995,181.119995,52722800
8/24/2023,180.669998,181.100006,176.009995,176.380005,176.380005,54945800
8/25/2023,177.380005,179.149994,175.820007,178.610001,178.610001,51449600
8/28/2023,180.089996,180.589996,178.550003,180.190002,180.190002,43820700
8/29/2023,179.699997,184.899994,179.5,184.119995,184.119995,53003900
8/30/2023,184.940002,187.850006,184.740005,187.649994,187.649994,60813900
8/31/2023,187.839996,189.119995,187.479996,187.869995,187.869995,60794500
9/1/2023,189.490005,189.919998,188.279999,189.460007,189.460007,45732600
9/5/2023,188.279999,189.979996,187.610001,189.699997,189.699997,45280000
9/6/2023,188.399994,188.850006,181.470001,182.910004,182.910004,81755800
9/7/2023,175.179993,178.210007,173.539993,177.559998,177.559998,112488800
9/8/2023,178.350006,180.240005,177.789993,178.179993,178.179993,65551300
9/11/2023,180.070007,180.300003,177.339996,179.360001,179.360001,58953100
9/12/2023,179.490005,180.130005,174.820007,176.300003,176.300003,90370200
9/13/2023,176.509995,177.300003,173.979996,174.210007,174.210007,84267900
9/14/2023,174,176.100006,173.580002,175.740005,175.740005,60895800
9/15/2023,176.479996,176.5,173.820007,175.009995,175.009995,109205100
9/18/2023,176.479996,179.380005,176.169998,177.970001,177.970001,67257600
9/19/2023,177.520004,179.630005,177.130005,179.070007,179.070007,51826900
9/20/2023,179.259995,179.699997,175.399994,175.490005,175.490005,58436200
9/21/2023,174.550003,176.300003,173.860001,173.929993,173.929993,63047900
9/22/2023,174.669998,177.080002,174.050003,174.789993,174.789993,56663000
9/25/2023,174.199997,176.970001,174.149994,176.080002,176.080002,46119600
